parent_account,amount
10C97E20271E4DCA87372,210
9B1685A0CB4BFDF1FE142,173
68C0900D62040FCDBE868,152
526857C8B9079C0FCF303,142
49AAD03652ADBDEE9FC62,140
A84E7CFAE65E7532D594F,137
A528C29B710530F4AD9E0,130
36261A903658E7A4EF00F,115
9CEFD0CFA2E7A07780BAB,112
85E5D4145B4D4ED1AB2C0,97
E2A9F6D5D65DE407A4E45,95
AFC1537D49549C104B987,93
7F7F964617E401B8BB605,92
2C6087EF70A2B3B3EE9BC,89
D2AFD2F2736E1813C25AD,84
45C300ED869998CB69231,82
27C65F1861A7594FED5B8,81
F1C2E1A168D711F8EF2EE,81
F34A57EF25DF747CD8335,80
49B6D0EC9408C0B2C1D87,79
E10C59D98559250EA1576,79
D8A80141F38C1570F13E0,78
D2939988E8DEC736EFA8C,76
74AACD3612D61D9E0EBB0,69
0A6C34F53C8E80AABC750,68
C8A5A6BF369226B21629D,66
47625933672906160F8AC,63
17ECEA6BDA66D99B32971,63
7013C4B76620F726461E9,61
57D7F4276D0B6C66BA5BF,61
5BCC288CD4C2D8E8E567E,60
6177155BF4176414B9EDE,58
897E0D03F271CACA85078,57
FC36870C1473B2C1098FD,56
5D9A58B7EFB6BF55829C2,56
9BCB1CD2ACEB9A312B071,55
C408CDB4FDDCD2D70E9DE,55
0BAB11670F27765784763,55
3871D0B93F0D695D6BA86,52
98D42896AA6AB6FF85066,52
87B0A034DD95F35870138,52
D2F77A7136BD6D7CE9B5B,52
524F65B3396660D06BC3C,52
DEF75CC76BAE19647A4D9,51
587BBC004CD88F6DAC642,51
8A4D28F2155C26E50B408,50
C539231DAF72141197A90,48
D0B347C08F2388E195D65,48
DE6FDF579DB5FDBD84EEB,48
3044C1093926DD3463C14,48
B0AC7177E04B57E1DAC88,47
2251F8DD45C4F4FAD65DB,46
C9335986CCAFE10A809A6,46
FD5F87EFBB92740AEDFD6,45
3F255B05D611E5345207D,44
367CA7190BAE15D792F85,43
9821A47C67C0889606343,43
5F74B2FD49A32971C61A6,43
CF4E0DBFD93B5C98E8774,42
0DFF73635FF493404B188,42
15A3562220F2C54FE8CCC,42
0D34048A91B930E7EFF40,42
D7888305F81496C8CBF46,42
55B9D84A0DCDE8FA9475F,41
DEBCEA777313F5DA92402,40
C39799D67C8C4215BF1D9,40
BAAD004B974C3C3B4D05F,40
BDAC86486FA3E4B512636,40
FB4B12B13174DE40B6908,39
65081598918590A08C8D9,39
E2D5583997FD9B1A04CAD,39
26521FA81CF7731E3E37E,39
FC628FA87CA9504756FAF,39
CE8290BA9A8A40D9ADFFF,39
040C0CA6F9D282355C404,38
09301ACE19D9B1226D297,38
55473D076C04C6439C0A9,38
D3A3B0087A46608C648DC,37
6EAAE716F95DA3BA35A4C,37
119D5CE1453FF92948BA3,37
B5B3B97BA694B86C5A40A,36
9F3E2D52F6EAC590C0B73,36
181CA7C01DBB1D3137362,36
0C0B6A1B59152EE79B6F7,36
9A2521A18A2C762613A95,36
116CACFD58D915FA809C6,36
19AF0984E1B1C63DF7D40,36
C6B02D314568E0D9A6259,35
95D764FD90EA075110A21,35
6660819BF7F437A1E0BE2,35
4FAEE0F07B290D6EC1591,34
EC5F174ADD5A437333863,34
CAED5343C7AF6E01C41CB,34
9C1EE219991E54BAA263E,34
AD4B66BB55B41D1FE74F4,34
57D0EC9608EF64ED4BB44,33
C52D95D718B6B9FE5E3E6,33
B7D635C6606D924A5FA7A,33
DAC090E987B8F079CA260,33
17C71AD3FBE478D111FFE,32
CFD9395B2CA78B19939A8,32
0B766FBC24F7FC85A421C,32
CEFADE637255482F9201A,31
68A85C9223D6200ABD6A3,31
693EDB5396E30D35F0E47,31
7CD41C6179D31CCF36906,31
C444995EF3556161F2A8D,31
503AAEBA117B54407C84F,30
3BF29E06B9931F8A5C983,30
E359FE4E810FC6A530B92,30
490A9F877E4204C6BB410,30
7644DD0CDF066F7073DB9,30
AA976867CC6A56C22B526,30
EF6E7F40D5793CC846E00,30
112A0B35016A6F538E34C,29
840F0F2E19775BF4BCD6E,29
2A74F50472F88C857A8F1,29
3090C5AC7D067109C1349,29
39913CF28BFC49D07C002,29
C0F646E3A4014E6CD5669,28
71FF9DF50F2D798F18FC7,28
7C6E7E771A8C6A6BEA0E5,28
5931B0612549FF5EA9BBB,28
D840A095B3B82D82B4DC7,27
075E046C3C0C8E46DBBD9,27
B8F5F76D4B8EEA657EDDD,27
45E60A65987321352EEE5,27
DF162CCCD396B3E727802,27
06431F17997C40F434081,27
A263A859AFB2EA14D2F85,27
8FC0C05E0E44C0886843F,27
831AD429E5426BDFAF403,26
8AAB52D1FABC973ECF87D,26
873E42CD8226C67A6941A,26
A398390DC4EF0C85DFC75,26
0CF7AFF9189BDBBC2C84D,26
A4667E7047DB2F47C4340,26
BC230848AE75D9E4AD051,26
A87952B8637E3FB205E1E,26
